id,collection_code,objectid,objectname,originalname,itemtype,comment,image_link,link_bgg
3b71cfdd-be70-484a-943a-4138a63d1c3e,7DPSE,307684,Final Girl: The Haunting of Creech Manor,Final Girl: The Haunting of Creech Manor,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/307684/final-girl-the-haunting-of-creech-manor
f1905e13-aec6-4ef5-9ecd-e0115a074bdd,7DPSE,357963,Fire In The Hole,Fire In The Hole,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/357963/fire-in-the-hole
29088f34-2788-4fd8-9da9-50b756c80af2,7DPSE,226605,Fire Tower,Fire Tower,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/226605/fire-tower
1fea9dc7-c93e-4461-9a40-831e14dc6e91,7DPSE,1472,Five Crowns,Five Crowns,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/1472/five-crowns
e1cacaf8-bbe9-4672-a251-11c1a11dfc00,7DPSE,336986,Flamecraft,Flamecraft,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/336986/flamecraft
e1be2a67-b9a7-4bab-b0be-b73ba96f335d,7DPSE,420087,Flip 7,Flip 7,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/420087/flip-7
0b3ae7d7-f98e-49d3-a7f1-57d8515fb903,7DPSE,292033,Funkoverse Strategy Game: DC Comics 101,Funkoverse Strategy Game: DC Comics 101,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/292033/funkoverse-strategy-game-dc-comics-101
d9707ba2-cb31-47ef-86ea-45568d058602,7DPSE,292029,Funkoverse Strategy Game: Golden Girls 100,Funkoverse Strategy Game: Golden Girls 100,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/292029/funkoverse-strategy-game-golden-girls-100
a9efe436-4938-44f0-ace8-625a8aa6d451,7DPSE,292031,Funkoverse Strategy Game: Harry Potter 101,Funkoverse Strategy Game: Harry Potter 101,standalone,,https://cf.geekdo-images.com/vQB_69f14snuHl4NGCRc7g__original/img/podC2nuCS8Mv9BdkxZUjcGo0HK4=/0x0/filters:format(png)/pic5008394.png,https://boardgamegeek.com/boardgame/292031/funkoverse-strategy-game-harry-potter-101
2fbdbaf0-68ac-4a54-80f8-22ebf276c3ee,7DPSE,321539,A Game of Cat & Mouth,A Game of Cat & Mouth,standalone,,https://cf.geekdo-images.com/1_cEnRN2mdmxUdeTjjtiaA__original/img/yPSlbK3ST_8GOxcQJEpmCz94lw4=/0x0/filters:format(jpeg)/pic6974496.jpg,https://boardgamegeek.com/boardgame/321539/a-game-of-cat--mouth
34dfd532-ae8e-4f8c-91ec-2a415724adbe,7DPSE,424991,Garden Variety,Garden Variety,standalone,,https://cf.geekdo-images.com/4-_OPgAXStWk8nfO_RIg_A__original/img/5nQ_sN5vEjp0XwG3qzfhEU_gZf8=/0x0/filters:format(jpeg)/pic8318576.jpg,https://boardgamegeek.com/boardgame/424991/garden-variety
d74b1cc8-0a83-408a-a255-cfb5bd1995e7,7DPSE,381072,Gerónimooo!!!,Gerónimooo!!!,standalone,,https://cf.geekdo-images.com/EGYacXvukjCpGI3DKw7VlA__original/img/1l8XvMcyHLBJiirg1yWhxrplpd0=/0x0/filters:format(jpeg)/pic7374650.jpg,https://boardgamegeek.com/boardgame/381072/gernimooo
9f787959-5968-479b-a78c-8b63f1542913,7DPSE,356909,Hand-to-Hand Wombat,Hand-to-Hand Wombat,standalone,,https://cf.geekdo-images.com/U36U-SQTKgW8nsnWiP2A-Q__original/img/_3sViMgTxfyppzOVXDl2a9TjCHI=/0x0/filters:format(png)/pic6700025.png,https://boardgamegeek.com/boardgame/356909/hand-to-hand-wombat
b0ea2cca-c545-4610-8c3f-0153ddc261f5,7DPSE,325414,Happy Little Dinosaurs,Happy Little Dinosaurs,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/325414/happy-little-dinosaurs
80311322-aca9-4d5d-b8d3-4269e8efc1a5,7DPSE,325451,Happy Little Dinosaurs: 5–6 Player Expansion Pack,Happy Little Dinosaurs: 5–6 Player Expansion Pack,expansion,,https://cf.geekdo-images.com/m7gMHolysUORh8rfKl1lsQ__original/img/W8Br0e0ZhZi_P2EywAQYr_4j7W8=/0x0/filters:format(jpeg)/pic6149877.jpg,https://boardgamegeek.com/boardgameexpansion/325451/happy-little-dinosaurs-56-player-expansion-pack
07fedae8-d950-43ac-a436-90898e1a1fea,7DPSE,395822,Happy Little Dinosaurs: Hazards Ahead,Happy Little Dinosaurs: Hazards Ahead,expansion,,https://cf.geekdo-images.com/AW73q8eExeh2fX-JVpC4Uw__original/img/Xd3x-xqHDHi1sdrI6Piuz7mvw8o=/0x0/filters:format(jpeg)/pic7712223.jpg,https://boardgamegeek.com/boardgameexpansion/395822/happy-little-dinosaurs-hazards-ahead
1fbf84f9-652f-4aa5-80a0-5c0a24c64197,7DPSE,414317,Harmonies,Harmonies,standalone,,https://cf.geekdo-images.com/A_XP2_VN3ugyqPhezowB_w__original/img/_Rv8lSr3fC1oDRkrQleQW2H2yCs=/0x0/filters:format(png)/pic8026369.png,https://boardgamegeek.com/boardgame/414317/harmonies
969f1266-735b-41fa-b534-d9e1b7454363,7DPSE,366013,Heat: Pedal to the Metal,Heat: Pedal to the Metal,standalone,,https://cf.geekdo-images.com/-vOrd4bOspibyohYExLqWg__original/img/iXU8a9WaVlwrkiEiOxWN06y9y5g=/0x0/filters:format(png)/pic6940449.png,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal
634690e7-e573-4676-88c6-a3dc8375cf27,7DPSE,299252,Here to Slay,Here to Slay,standalone,,https://cf.geekdo-images.com/ozUv3be9fcf28tJk30bNow__original/img/digC3cWVMhV6rlcE0AEcoVkmVI0=/0x0/filters:format(jpeg)/pic5181432.jpg,https://boardgamegeek.com/boardgame/299252/here-to-slay
688a7371-6bf8-4099-a8df-ca6af4dc0b60,7DPSE,349286,Here to Slay: Berserkers & Necromancers,Here to Slay: Berserkers & Necromancers,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/349286/here-to-slay-berserkers--necromancers
b7406ff4-ec4e-42e6-8f65-11c1a4e1d563,7DPSE,321259,Here to Slay: Warriors & Druids Expansion,Here to Slay: Warriors & Druids Expansion,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/321259/here-to-slay-warriors--druids-expansion
a81485f9-9693-41f8-8a3c-baa481e9d617,7DPSE,313718,Hibachi,Hibachi,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/313718/hibachi
e7c066fc-747c-4133-99cd-0d29b188176b,7DPSE,397897,Horrified: Greek Monsters,Horrified: Greek Monsters,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/397897/horrified-greek-monsters
0e6de56a-2db3-4fcd-a7f4-dde3de7f7b93,7DPSE,315954,Hunt A Killer: Death at the Dive Bar,Hunt A Killer: Death at the Dive Bar,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/315954/hunt-a-killer-death-at-the-dive-bar
891c64cd-f571-4e4b-860f-ad26b1cf258b,7DPSE,346467,Hunt A Killer: Nancy Drew – Mystery at Magnolia Gardens,Hunt A Killer: Nancy Drew – Mystery at Magnolia Gardens,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/346467/hunt-a-killer-nancy-drew--mystery-at-magnolia-gardens
22b5e3d7-7bbf-4b51-9b3a-967b67649e99,7DPSE,364787,Labyrinth: Disney Villains,Labyrinth: Disney Villains,standalone,,https://cf.geekdo-images.com/FxpAxW--8YkO0WjaI-kl_w__original/img/pGFDWl9XSchy_V6Z5cgYMva8c4M=/0x0/filters:format(jpeg)/pic7399352.jpg,https://boardgamegeek.com/boardgame/364787/labyrinth-disney-villains
e4e32e4f-76fa-4014-afa3-7f8a5339f3f4,7DPSE,423729,Let's Hit Each Other with Fake Swords,Let's Hit Each Other with Fake Swords,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/423729/lets-hit-each-other-with-fake-swords
85ad639c-6717-4bb8-969e-cc5dadce0717,7DPSE,325829,Let's Summon Demons,Let's Summon Demons,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/325829/lets-summon-demons
7fb9f34e-e44f-4dd7-8089-e95268dbb49b,7DPSE,335869,A Little Wordy,A Little Wordy,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/335869/a-little-wordy
a5f7db2f-d33d-4fe4-8d43-0c8d12faf8bc,7DPSE,287228,Mal Trago,Mal Trago,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/287228/mal-trago
0a5a7a94-eb97-4862-a622-c0a0840e4126,7DPSE,358690,MANTIS,MANTIS,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/358690/mantis
3b13d330-8582-4f0b-81e4-6be0c50408c5,7DPSE,360152,Marvel Dice Throne: Black Widow v. Doctor Strange,Marvel Dice Throne: Black Widow v. Doctor Strange,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/360152/marvel-dice-throne-black-widow-v-doctor-strange
cd261708-9025-4f70-b086-77b2d95e44f5,7DPSE,360061,Marvel Dice Throne: Captain Marvel v. Black Panther,Marvel Dice Throne: Captain Marvel v. Black Panther,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/360061/marvel-dice-throne-captain-marvel-v-black-panther
b18ceeac-b246-4637-848c-52d2940657a3,7DPSE,403511,Marvel Dice Throne: Deadpool,Marvel Dice Throne: Deadpool,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/403511/marvel-dice-throne-deadpool
76bb2d95-1759-47b5-ab68-e1a1f928525c,7DPSE,360153,Marvel Dice Throne: Scarlet Witch v. Thor v. Loki v. Spider-Man,Marvel Dice Throne: Scarlet Witch v. Thor v. Loki v. Spider-Man,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/360153/marvel-dice-throne-scarlet-witch-v-thor-v-loki-v-spider-man
0e19f0ff-3246-468c-9377-18d5422985b1,7DPSE,298047,Marvel United,Marvel United,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/298047/marvel-united
168c1e6d-03c5-4162-bb7a-26a047ae4b2d,7DPSE,354553,Marvel United: Doctor Strange,Marvel United: Doctor Strange,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/354553/marvel-united-doctor-strange
e554a46f-ddff-4a68-9485-3728f8ea658b,7DPSE,303600,Marvel United: Enter the Spider-Verse,Marvel United: Enter the Spider-Verse,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/303600/marvel-united-enter-the-spider-verse
